Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
J10-J18 Influenza & pneumonia,113622,97420,107833,1822,21.0,6.0,11.3,6.0,67,15072,35915,39211.0,98948,1262,1340425.0,2007
J20-J22 Other acute lower respiratory infections,108361,72531,103714,1246,29.0,7.0,6.4,3.0,52,38541,26576,23238.0,57766,888,699044.0,2007
J30-J39 Other diseases of upper respiratory tract,101958,58170,11429,86710,116.0,105.0,1.4,1.0,35,21858,66039,11908.0,3638,29165,99437.0,2007
J40-J47 Chronic lower respiratory diseases,188605,132623,176104,6110,33.0,11.0,6.2,3.0,59,30424,69334,87226.0,91553,5801,1167774.0,2007
J60-J70 Lung diseases due to external agents,8862,9688,8045,258,20.0,10.0,17.9,10.0,73,337,2908,3517.0,10147,253,174675.0,2007
J80-J99 Other diseases of the respiratory system,56322,47498,37491,10070,20.0,8.0,9.6,5.0,62,3406,25140,25336.0,29093,7565,480494.0,2007
"K00-K14 Diseases of oral cavity, salivary glands & jaws",202335,91991,11506,177900,93.0,79.0,1.7,1.0,31,54564,125485,16844.0,7314,170162,61035.0,2007
K20-K31 Diseases of oesophagusstomach & duodenum,272307,166134,50699,159798,47.0,28.0,5.9,2.0,58,11059,142470,97791.0,75901,209965,431418.0,2007
K35-K38 Diseases of appendix,37413,23603,36285,783,74.0,46.0,3.8,3.0,30,9061,30341,2355.0,1121,97,146520.0,2007
K40-K46 Hernia,164657,117657,17849,133631,98.0,83.0,3.1,1.0,56,10777,77244,51616.0,33037,93948,219681.0,2007
K50-K52 Noninfective enteritis & colitis,160987,84843,78106,56599,53.0,32.0,5.4,2.0,47,21696,102400,33800.0,35355,72007,482875.0,2007
K55-K63 Other diseases of intestines,310554,165593,111788,148245,58.0,35.0,6.2,2.0,59,16012,142415,99325.0,98246,170446,888553.0,2007
K65-K67 Diseases of peritoneum,6794,3826,4361,2107,83.0,63.0,11.2,6.0,55,272,4922,2278.0,2091,710,72609.0,2007
K70-K77 Diseases of liver,27805,27670,16247,7546,36.0,21.0,11.9,7.0,53,526,29909,11548.0,3503,6552,276870.0,2007
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",137485,66485,68138,61799,94.0,77.0,5.6,3.0,57,582,93623,45499.0,37345,14626,706320.0,2007
K90-K93 Other diseases of the digestive system,61748,46741,43479,11769,44.0,27.0,5.8,2.0,60,3858,35010,20025.0,29540,14405,245935.0,2007
L00-L14  L55-L99 Other infections and disorders of the skin,243601,142683,109320,119062,76.0,54.0,6.5,2.0,50,19044,150911,52653.0,55665,110873,873413.0,2007
L20-L30 Dermatitis and eczema,9481,4990,5787,2658,42.0,23.0,4.2,1.0,37,3532,3933,1535.0,1553,2331,30193.0,2007
L40-L45 Papulosquamous disorders (including Psoriasis),10592,5372,1345,5774,44.0,21.0,10.7,8.0,50,245,7581,2545.0,738,7125,37286.0,2007
L50-L54 Urticaria and erythems,5292,2882,4551,427,37.0,19.0,2.5,1.0,30,2420,2493,644.0,446,508,12048.0,2007
M00-M25 Arthropathies,429480,190383,48427,330189,133.0,137.0,5.4,4.0,58,14021,197082,146126.0,90082,169126,1407040.0,2007
M30-M36 Systemic connective tissue disorders,16532,5315,3973,5305,27.0,12.0,8.0,4.0,51,1098,10247,4772.0,2747,9471,58617.0,2007
M40-M54 Dorsopathies,207378,91575,48344,112567,93.0,78.0,5.3,2.0,55,3073,124267,56029.0,37490,117811,469005.0,2007
M60-M79 Soft tissue disorders,179703,84994,70038,94057,120.0,119.0,2.0,1.0,55,5924,99933,50069.0,32438,70530,219530.0,2007
M80-M94 Osteopathies and chondropathies,46195,22239,11312,24681,88.0,68.0,7.9,2.0,54,4231,23029,11102.0,12935,18082,224334.0,2007
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,3984,2006,573,3048,131.0,128.0,7.1,1.0,47,87,2902,655.0,633,874,22126.0,2007
"N00-N08, N10-N16 Diseases of the kidney",36619,20711,20029,11834,50.0,31.0,5.2,3.0,47,4198,25547,9355.0,6917,8267,153398.0,2007
N17-N19 Renal failure,82027,60544,24401,16099,29.0,12.0,8.9,2.0,64,2476,33068,32222.0,39915,32613,434703.0,2007
N20-N23 Urolithiasis,68816,54156,30437,29329,51.0,33.0,2.4,1.0,50,464,55007,16777.0,5611,23850,111502.0,2007
N25-N29 Other disorders of kidney & ureter,4444,2802,1213,2433,53.0,30.0,5.5,3.0,51,656,2288,1275.0,1012,1381,17421.0,2007
N30-N39 Other diseases of the urinary system,211841,107483,100925,86123,76.0,55.0,8.0,3.0,64,14570,77727,58014.0,114640,73284,1162391.0,2007
N40-N51 Diseases of male genital organs,114253,119627,25091,81502,87.0,69.0,2.6,1.0,48,20187,45782,32089.0,21495,59450,143584.0,2007
N60-N64 Disorders of breast,24562,3105,4335,19384,79.0,41.0,1.8,1.0,43,373,20704,3061.0,933,10742,25979.0,2007
N70-N77 Inflammatory diseases of female pelvic organs,23658,0,10978,11791,81.0,63.0,2.5,1.0,37,444,22711,1194.0,670,7512,39634.0,2007
N80-N98 Noninflammatory disorders of female genital tract,251166,0,31635,203146,76.0,56.0,2.6,2.0,45,1446,201006,32559.0,13111,139900,291751.0,2007
N99 Other disorders of the genitourinary system,3276,996,777,2236,96.0,85.0,4.4,3.0,56,227,1515,1293.0,608,683,11492.0,2007
O00-O08 Pregnancy with abortive outcome,165827,0,64837,76063,12.0,5.0,0.9,1.0,30,543,154922,,4492,79257,81456.0,2007
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",1059107,0,81400,18534,11.0,3.0,1.6,1.0,28,476,1086929,,92,18518,1682951.0,2007
O80-O84 Delivery,104188,0,436,596,22.0,3.0,1.6,1.0,28,36,105006,1.0,1,11,163451.0,2007
P00-P04 Complications of fetus/neonate affected by maternal,5449,3275,209,15,22.0,7.0,2.9,2.0,0,6315,3,0.0,0,14,16324.0,2007
P05-P96 Other conditions originating in the perinatal period,173157,112405,26171,2342,62.0,35.0,6.3,3.0,0,204816,99,5.0,9,1953,1106319.0,2007
Q00-Q89 Congenital malformations,101080,63214,10277,56663,98.0,81.0,4.2,2.0,11,84197,22405,2852.0,1486,32538,279993.0,2007
Q90-Q99 Chromosomal abnormalities nec.,1513,945,194,449,52.0,25.0,12.1,3.0,10,1245,363,19.0,9,424,10408.0,2007
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,404519,245120,351716,40829,62.0,44.0,1.8,1.0,55,35602,209527,121419.0,106784,35649,685179.0,2007
R10-R19 Symptoms & signs inv. the digestive system & abdomen,387388,155341,264006,87714,52.0,31.0,2.5,1.0,45,40674,258422,73348.0,61166,98409,720670.0,2007
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,36959,18483,27608,7245,66.0,41.0,1.5,0.0,35,13471,16470,5560.0,4160,6053,45046.0,2007
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,20805,11432,12188,3081,42.0,29.0,7.3,2.0,49,6781,6279,3808.0,8239,2783,125160.0,2007
R30-R39 Symptoms & signs involving the urinary system,136465,101571,40384,76011,47.0,28.0,3.6,2.0,63,2686,50317,46837.0,47511,83609,192134.0,2007
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",46104,27001,42735,1552,53.0,33.0,7.2,2.0,70,1262,13518,12914.0,32770,1128,290415.0,2007
R47-R49 Symptoms & signs inv. speech & voice,6870,3943,3555,2474,42.0,26.0,4.7,1.0,63,291,2688,2365.0,2794,1874,20320.0,2007
R50-R68 General symptoms & signs,292706,162774,244462,28076,41.0,21.0,4.6,1.0,55,50969,115824,56180.0,132767,29515,1174562.0,2007
R69 Unknown & unspecified causes of morbidity,134422,71173,41497,58229,57.0,32.0,33.0,3.0,54,11142,68949,30628.0,38714,31631,2277797.0,2007
R70-R89 Abnormal findings of bodily fluids or samples without diag.,29530,16898,6158,17621,32.0,23.0,3.2,1.0,56,674,15080,9906.0,5689,21211,27504.0,2007
R90-R94 Abnormal findings on diagnostic imaging/function studies,22691,13292,3909,13892,26.0,9.0,4.4,2.0,61,666,9428,9256.0,6048,14728,36345.0,2007
R95-R99 Ill-defined & unknown causes of mortality,14,6,9,0,0.0,0.0,6.8,1.0,47,6,0,4.0,5,1,94.0,2007
S00-S09 Injuries to the head,155996,111876,135589,14309,25.0,5.0,3.1,1.0,40,34483,87858,13653.0,35152,10468,443594.0,2007
S10-S19 Injuries to the neck,7820,5593,6724,302,37.0,21.0,11.2,2.0,45,625,5900,1134.0,1556,56,82792.0,2007
S20-S29 Injuries to the thorax,15471,12167,14540,195,33.0,13.0,7.6,3.0,55,480,10126,3214.0,5697,45,119375.0,2007
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",29130,16992,26319,534,65.0,30.0,10.0,3.0,56,2885,15561,4084.0,14831,184,293988.0,2007
S40-S49 Injuries to the shoulder & upper arm,36797,20555,31906,2953,31.0,6.0,6.5,2.0,54,6458,14733,6446.0,15887,364,237307.0,2007
S50-S59 Injuries to the elbow & forearm,68683,37168,60965,4781,17.0,2.0,3.0,1.0,40,22669,28921,9171.0,14248,1528,204336.0,2007
S60-S69 Injuries to the wrist & hand,78238,60382,62827,9261,27.0,3.0,1.4,1.0,35,10807,60233,5606.0,5036,6436,99432.0,2007
S70-S79 Injuries to the hip & thigh,83781,32013,74202,1577,59.0,16.0,21.4,14.0,77,2906,10164,15310.0,82423,129,1792538.0,2007
S80-S89 Injuries to the knee & lower leg,70887,42066,61812,5297,70.0,22.0,7.5,3.0,49,7641,43786,11746.0,18281,2006,522086.0,2007
S90-S99 Injuries to the ankle & foot,15607,9983,13892,1050,41.0,7.0,4.3,2.0,43,2194,10361,2020.0,2944,466,64196.0,2007
T00-T07 Injuries involving multiple body regions,2101,1375,1917,52,29.0,1.0,8.9,1.0,46,326,1282,255.0,581,24,18545.0,2007
T08-T14 Injuries to unspecified part of trunk limb or body,5624,3066,5041,305,75.0,26.0,5.0,1.0,52,786,2720,773.0,2108,214,27171.0,2007
T15-T19 Effects of foreign body entering through natural orifice,12815,7994,9381,2861,14.0,6.0,1.2,1.0,28,6603,4890,1244.0,1240,2591,12903.0,2007
T20-T32 Burns and corrosions,9998,6919,7566,377,14.0,5.0,5.3,1.0,28,4238,4970,735.0,843,128,53772.0,2007
T33-T35 Frostbite,44,48,38,4,11.0,12.0,31.9,5.0,43,0,52,3.0,1,0,1397.0,2007
T36-T50 Poisonings by drugs medicaments & biological substances,106649,50069,105729,170,47.0,18.0,1.4,1.0,35,8349,104141,5691.0,4353,74,147710.0,2007
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,7655,4772,6717,263,56.0,42.0,1.8,0.0,37,1801,5169,962.0,647,812,12443.0,2007
T66-T78 Other and unspecified effects of external causes,12830,6763,11457,523,47.0,17.0,1.6,0.0,37,3522,7217,1722.0,1615,1024,18686.0,2007
T79 Certain early complications of trauma,2264,1905,1839,284,89.0,74.0,6.6,3.0,43,256,1828,312.0,411,108,14760.0,2007
T80-T88 Complications of surgical & medical care nec.,140195,84708,81652,46307,77.0,48.0,7.6,3.0,56,9187,70246,46676.0,40298,16980,948130.0,2007
T90-T98 Sequelae of injuriesof poisoning & other consequences,295,177,63,192,104.0,105.0,7.0,2.0,47,10,216,33.0,44,82,1476.0,2007
Z00-Z13 Examination and investigation,240421,135020,29744,85406,86.0,48.0,1.6,0.0,54,25079,92861,70997.0,55366,184219,88582.0,2007
Z20-Z29 Potential health hazards related to communicable diseases,3294,2018,182,1274,24.0,13.0,1.5,0.0,28,1929,509,564.0,439,2442,1383.0,2007
Z30-Z39 Health services in circumstances related to reproduction,658210,243385,8379,50566,82.0,67.0,1.3,1.0,9,454484,210931,110.0,77,52915,759331.0,2007
Z40-Z54 Persons encountering health services for specific care,128693,73254,10201,83930,68.0,38.0,5.5,1.0,52,14268,59647,30525.0,27264,63655,345887.0,2007
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,549,226,341,91,21.0,7.0,13.0,1.0,27,232,258,30.0,62,109,5210.0,2007
Z70-Z76 Persons encountering health services in other circs.,44736,25841,8826,10652,56.0,17.0,7.9,3.0,30,22249,16930,4451.0,7022,3884,270257.0,2007
Z80-Z99 Persons with potential health hazards related to family,7130,3644,578,3569,77.0,29.0,8.7,2.0,46,1367,3189,1549.0,1101,5319,15448.0,2007
A00-A09 Intestinal infectious diseases,35722,19165,31208,3103,70.0,42.0,3.7,1.0,21,23422,8024,3236.0,4278,3692,114486.9698630137,2000
A15-A19 Tuberculosis,3523,2700,2297,818,20.0,8.0,17.3,10.0,44,226,3162,893.0,550,404,55750.98453424657,2000
A20-A49 Certain bacterial diseases,17200,11458,15107,603,28.0,7.0,13.3,7.0,48,5147,5333,4531.0,8071,304,212724.24569863017,2000
A50-A64 Infections with predominantly sexual mode of transmission,3193,1231,596,2166,76.0,47.0,3.6,2.0,36,85,2487,167.0,124,1944,4252.135479452055,2000
A65-A79 Other infectious and parasitic disorders,305,153,134,85,54.0,20.0,7.6,3.0,36,42,254,27.0,12,136,984.91298630137,2000
A80-A89 Viral infections of the central nervous system,4024,2384,3776,85,20.0,8.0,8.3,3.0,26,999,3507,188.0,78,36,23030.783698630137,2000
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,26,14,25,1,,,3.4,3.0,32,7,19,2.0,0,0,84.34520547945205,2000
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,11851,6078,7189,3841,58.0,35.0,5.6,2.0,35,4635,4295,1646.0,2134,3917,44678.02020547945,2000
B15-B19 Viral hepatitis,4614,3401,1276,2100,53.0,34.0,5.0,2.0,41,198,4343,495.0,92,1878,13961.75890410959,2000
B20-B24 Human imrnunodeficiency virus [HIV] disease,3229,3241,1472,993,11.0,1.0,11.4,6.0,38,114,3198,97.0,19,1052,28136.940986301368,2000
B25-B34 Other viral diseases,45292,25188,44128,490,33.0,14.0,1.5,1.0,11,34735,11002,861.0,564,487,66664.15260273973,2000
B35-B49 Mycoses,3048,1725,1383,1040,45.0,21.0,7.6,2.0,44,596,1533,795.0,687,1220,13691.058356164382,2000
B50-B64 Protozoal diseases,2558,1903,2237,123,21.0,8.0,4.6,3.0,34,338,2367,193.0,52,99,11512.610630136985,2000
B65-B83 Helminthiases,395,206,227,114,51.0,25.0,4.2,3.0,27,126,261,32.0,10,102,1215.2934246575344,2000
B85-B99 Other infectious and parasitic diseases,1190,637,879,140,26.0,5.0,7.6,3.0,33,530,415,150.0,280,198,7061.082191780822,2000
C00-C14 Malignant neoplasm of liporal cavity and pharynx,11841,8481,1726,6664,19.0,10.0,9.9,4.0,59,230,6172,4469.0,2189,3190,83476.844,2000
C15-C26 Malignant neoplasm of digestive organs,231108,155749,31038,84615,16.0,8.0,11.6,8.0,65,382,69863,123794.0,62101,141279,1043130.6136986301,2000
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,74098,54005,22139,24550,14.0,7.0,9.8,5.0,66,187,22131,42206.0,22035,28273,450299.1483835617,2000
C40-C41 Malignant neoplasm of bone and articular cartilage,4853,2963,976,1740,19.0,6.0,6.9,4.0,29,1407,2844,552.0,261,952,26412.750958904107,2000
C43-C44 Malignant neoplasms of skin,59764,32178,1267,52151,43.0,30.0,5.1,2.0,70,52,13609,20506.0,26226,46178,68074.04843835617,2000
C45-C49 Malignant neoplasms of mesothelial and soft tissue,10607,7170,2418,3772,19.0,8.0,7.8,4.0,53,1168,4582,4051.0,1740,3388,55826.7382739726,2000
C50 Malignant neoplasm of breast,124637,773,7523,51228,16.0,11.0,6.7,4.0,56,1,81693,33058.0,11963,81395,279810.13808219176,2000
C51-C58 Malignant neoplasms of female genital organs,51582,21,6831,20875,18.0,11.0,7.9,4.0,61,106,23412,21474.0,9321,23400,218085.61952054795,2000
C60-C63 Malignant neoplasms of male genital organs,39404,42639,8018,19395,40.0,23.0,8.7,5.0,66,125,8937,17630.0,15967,16301,198226.05328767124,2000
C64-C68 Malignant neoplasms of urinary tract,86880,66717,6916,45510,46.0,27.0,6.7,3.0,70,1608,13500,39548.0,36970,42193,292333.8528082192,2000
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16244,10374,4866,4414,20.0,11.0,11.7,6.0,39,5211,7313,4165.0,1493,5838,120762.1894931507,2000
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",202814,124104,24109,77062,9.0,4.0,9.5,4.0,52,22695,89435,67980.0,31585,150262,489604.81315068493,2000
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",78739,37073,23224,23780,17.0,8.0,10.4,6.0,61,2006,32879,35131.0,19293,30933,498115.84931506857,2000
D00-D48 In situ & benign neoplasms and others of uncertainty,276731,117641,14808,210210,73.0,38.0,5.4,3.0,54,10508,151136,71118.0,53147,191264,452287.661369863,2000
D50-D64 Anaemias,100766,48764,32326,40948,30.0,14.0,7.1,3.0,57,7613,41167,27187.0,42869,54877,326132.1270410959,2000
D65-D89 Diseases of the blood and blood-forming organs,46480,26549,13656,17479,17.0,7.0,5.5,3.0,43,10765,21886,10946.0,5563,27912,99287.98369863012,2000
E00-E07 Disorders of thyroid gland,10183,2044,1927,7209,95.0,57.0,6.2,4.0,51,355,6881,2280.0,1553,1497,53574.58338356164,2000
E10-E14 Diabetes Mellitus,60253,39070,30461,22303,41.0,24.0,10.3,4.0,54,5205,31146,21891.0,14048,23738,362911.95227397257,2000
E15-E90 Endocrine nutritional and metabolic diseases,57713,30378,24389,20370,57.0,20.0,8.8,4.0,46,10697,28846,12597.0,13081,22594,300458.9796164384,2000
F00-F03 Dementia,23377,11190,13016,2660,20.0,3.0,71.6,26.0,80,4,598,5662.0,21385,66,1084772.4430684932,2000
F04-F09 Other organic including symptomatic mental disorders,3817,2178,2949,211,19.0,2.0,39.3,16.0,68,45,1230,856.0,2645,59,115709.33979452054,2000
F10-F19 Mental and behavioural disorders due to psychoactive subst.,36391,27682,28149,4888,33.0,9.0,12.0,5.0,38,2058,34404,3140.0,959,175,395408.9971232877,2000
"F20-F29 Schizophrenia, schizotypal and delusional disorders",31893,21144,24604,1742,14.0,2.0,118.4,33.0,41,58,30528,3735.0,1753,19,1945886.2344657532,2000
F30-F39 Mood [affective] disorders,47605,19387,35974,3068,15.0,3.0,47.6,25.0,51,142,34078,9586.0,8288,963,1802643.7263013697,2000
"F40-F69 Neurotic, bahavioural & personality disorders",26581,11558,18978,3521,69.0,33.0,30.2,9.0,41,734,22876,2984.0,2298,1759,561268.8444109589,2000
F70-F79 Mental retardation,17709,9985,1723,7112,7.0,1.0,193.5,3.0,22,6550,11849,280.0,102,415,361607.90102739725,2000
F80-F99 Other mental and behavioural disorders,10915,6259,4615,1938,33.0,7.0,57.0,8.0,36,2694,6405,1059.0,1418,742,302322.5442739726,2000
G00-G09 Inflammatory diseases of the central nervous system,4005,2732,2823,363,29.0,11.0,13.1,7.0,28,1793,2398,551.0,242,233,48665.48856164383,2000
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11224,7106,5069,4278,46.0,22.0,25.4,13.0,66,325,2869,4481.0,6168,2901,191973.8409041096,2000
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",11682,6264,6078,2438,33.0,10.0,64.1,15.0,71,390,2023,3797.0,8164,522,423914.66543835617,2000
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16126,5716,4025,7202,29.0,11.0,15.3,5.0,45,110,15290,1988.0,398,6382,121634.91586301368,2000
G40-G47 Epilepsymigraine & other episodic disorders,74588,46986,54368,13345,79.0,47.0,6.0,2.0,46,13151,41165,15872.0,17298,2699,356008.2200547945,2000
"G50-G73, G90-G99 Other diseases & disorders of the nervous syst.",73573,30732,9761,55337,108.0,69.0,9.4,2.0,53,3268,45182,17808.0,11603,45604,236959.95273972605,2000
G80-G83 Cerebral palsy & other paralytic syndromes,13264,9656,5226,4303,87.0,45.0,37.4,13.0,47,3311,5497,4244.0,5805,2728,373014.6147260274,2000
H10-H13 Disorders of conjunctiva (including conjunctivitis),4146,2118,998,2902,122.0,80.0,2.0,1.0,44,824,2094,831.0,469,2720,2830.3088630136986,2000
H25-H28 Disorders of lens (including cataracts),255965,92959,1166,239452,183.0,155.0,1.3,1.0,75,486,20779,78974.0,156676,215492,52488.59019178082,2000
H40-H42 Glaucoma,14476,6621,2490,11223,52.0,33.0,2.2,1.0,67,182,3292,5642.0,5469,8647,12683.764767123288,2000
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",112052,54123,17849,88638,100.0,60.0,2.5,1.0,52,16581,41907,27848.0,27177,71444,99417.78191780821,2000
H60-H95 Diseases of the ear and mastoid process,88900,48211,12480,74542,101.0,62.0,1.8,1.0,23,50972,28328,7402.0,3502,48295,70094.81097260273,2000
I00-I09 Rheumatic heart disease,4291,1995,955,2816,117.0,69.0,11.7,8.0,64,83,1406,2600.0,1247,1339,35681.753876712326,2000
I10-I15 Hypertensive diseases,14699,9282,7630,3616,34.0,14.0,7.3,3.0,61,277,6924,5868.0,4869,2767,84729.8898630137,2000
I20-I25 Ischaemic heart diseases,293911,243564,186018,83431,121.0,76.0,6.8,5.0,66,44,104365,165175.0,108752,45548,1706816.3017123286,2000
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,17477,10241,15086,963,28.0,5.0,10.8,8.0,63,113,8383,7883.0,7717,930,186044.6177260274,2000
I30-I52 Other forms of heart disease,198366,138727,144101,38195,84.0,44.0,9.9,6.0,70,1967,44931,86933.0,129573,22223,1730404.200479452,2000
I60-I69 Cerebrovascular diseases,97692,68183,79502,6966,39.0,22.0,26.4,12.0,73,355,20506,43574.0,80076,954,2368443.4986164384,2000
"I70-I79 Diseases of arteries, arterioles & capillaries",64190,47256,19300,37851,48.0,26.0,10.5,4.0,68,348,15167,31880.0,28540,9266,565089.2366438357,2000
I80-I89 Diseases of veins & lymphatic system nec.,138457,68456,37418,89982,156.0,92.0,4.6,2.0,52,3180,91323,35888.0,19890,64378,336075.68909589044,2000
I95-I99 Other & unspecified disorders of the circulatory system,8511,5010,6809,939,34.0,14.0,10.9,6.0,74,54,1446,2945.0,7097,647,87256.27583561644,2000
J00-J06 Acute upper respiratory infections,79239,46139,73789,4410,141.0,90.0,1.4,1.0,9,63819,14700,1449.0,1519,847,105977.62424657533,2000
J10-J18 Influenza & pneumonia,73827,52643,68970,1513,14.0,5.0,13.2,6.0,61,11386,19446,19984.0,50974,878,889717.5211917808,2000
J20-J22 Other acute lower respiratory infections,93767,57496,88767,1490,20.0,6.0,8.0,4.0,44,34303,21134,18929.0,41439,580,724700.8762191781,2000
J30-J39 Other diseases of upper respiratory tract,129587,70045,9746,117149,153.0,98.0,1.4,1.0,31,35340,79159,12477.0,3657,23470,147305.95361643835,2000
J40-J47 Chronic lower respiratory diseases,162495,107351,151084,5120,28.0,8.0,7.8,5.0,55,26992,51524,68812.0,66296,3863,1214062.0715342464,2000
J60-J70 Lung diseases due to external agents,3850,3551,3309,213,19.0,8.0,18.3,10.0,68,220,1162,1517.0,3107,131,66380.57432876712,2000
J80-J99 Other diseases of the respiratory system,42434,32963,27487,8705,22.0,7.0,10.3,6.0,60,2415,17670,18236.0,17532,5230,384062.49682191777,2000
"K00-K14 Diseases of oral cavity, salivary glands & jaws",168682,75815,7551,152448,82.0,47.0,1.7,1.0,30,47715,103124,13586.0,5738,134714,57340.093972602735,2000
K20-K31 Diseases of oesophagusstomach & duodenum,280924,175056,44800,169311,55.0,34.0,7.5,4.0,57,7250,152861,99296.0,73550,222460,487368.8605479452,2000
K35-K38 Diseases of appendix,36084,21362,35012,753,72.0,45.0,4.3,3.0,28,10080,26071,2011.0,790,34,156010.76369863012,2000
K40-K46 Hernia,153507,109371,15577,125623,130.0,76.0,3.2,2.0,54,12793,70637,47313.0,28892,78326,240712.45101369865,2000
K50-K52 Noninfective enteritis & colitis,101776,51975,53052,33125,60.0,35.0,6.4,3.0,42,19391,61028,19531.0,18291,39787,394816.8342328767,2000
K55-K63 Other diseases of intestines,221643,111631,90967,102544,65.0,37.0,6.8,3.0,55,17567,101684,63134.0,65917,101234,808474.1202876712,2000
K65-K67 Diseases of peritoneum,6325,3144,4009,1980,92.0,48.0,11.2,6.0,54,240,4019,1904.0,1957,629,64798.62864383561,2000
K70-K77 Diseases of liver,19660,16214,11950,4881,34.0,17.0,12.4,7.0,53,401,18210,6992.0,2191,3226,210205.0405479452,2000
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",106230,46211,51647,48521,131.0,69.0,6.3,4.0,56,415,66252,35754.0,26050,6974,628802.3909041097,2000
K90-K93 Other diseases of the digestive system,49580,36273,35306,9206,49.0,27.0,7.0,3.0,58,2635,26524,15706.0,24293,10686,240036.3832191781,2000
L20-L30 Dermatitis and eczema,10691,5723,5623,3814,30.0,13.0,6.2,4.0,35,3829,4477,1651.0,1679,2942,46584.61260273973,2000
L40-L45 Papulosquamous disorders (including Psoriasis),13950,7381,1334,7510,29.0,6.0,13.6,11.0,48,438,9814,3376.0,1087,9583,64079.772041095894,2000
L50-L54 Urticaria and erythems,4350,2298,3780,358,38.0,13.0,3.3,1.0,27,2059,1959,413.0,328,295,13242.277013698631,2000
"L00-L14, L55-L99 Other infections and disorders of the skin",221708,121011,84724,124996,79.0,45.0,8.1,3.0,47,19382,134543,43080.0,43266,110048,866300.0138493151,2000
M00-M25 Arthropathies,303324,139218,34303,248963,188.0,130.0,7.4,5.0,55,12123,148548,93770.0,59402,109415,1413435.6973972605,2000
M30-M36 Systemic connective tissue disorders,13120,3898,4025,5802,27.0,10.0,9.7,5.0,51,949,7810,3674.0,2348,5199,75416.7574520548,2000
M40-M54 Dorsopathies,142523,63176,30809,84971,88.0,50.0,7.3,4.0,53,2117,92570,32802.0,21955,81401,435785.53938356164,2000
M60-M79 Soft tissue disorders,124708,59915,43319,72880,142.0,88.0,2.9,1.0,52,5075,74460,32126.0,19334,50651,215275.92739726027,2000
M80-M94 Osteopathies and chondropathies,40853,19319,10860,22322,105.0,50.0,9.6,4.0,51,4536,19278,9093.0,11275,14649,243695.40924657538,2000
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,3878,2053,454,3100,208.0,156.0,6.9,2.0,43,96,2932,524.0,456,820,19819.585205479452,2000
"N00-N08, N10-N16 Diseases of the kidney",26718,14279,13512,9297,58.0,32.0,6.2,4.0,44,4037,16368,6339.0,4247,5418,131169.14634246574,2000
N17-N19 Renal failure,55695,40525,16589,8557,28.0,10.0,11.5,4.0,60,2508,22065,23830.0,20129,24600,325834.8798082192,2000
N20-N23 Urolithiasis,50483,39308,20468,24659,49.0,27.0,3.4,2.0,50,426,38255,12516.0,4274,18310,107643.7853150685,2000
N25-N29 Other disorders of kidney & ureter,3562,2173,926,2020,52.0,26.0,6.7,3.0,49,516,1769,1142.0,603,931,16671.341616438356,2000
N30-N39 Other diseases of the urinary system,156440,73374,56917,80731,93.0,54.0,8.5,4.0,57,13228,60900,41821.0,59115,63458,769328.4544520547,2000
N40-N51 Diseases of male genital organs,113854,118196,21623,83910,107.0,62.0,3.5,2.0,49,21574,40759,34133.0,21581,56686,199407.37397260274,2000
N60-N64 Disorders of breast,28831,2888,3179,24468,78.0,25.0,2.3,2.0,44,344,24166,3524.0,1146,14504,32773.59649315069,2000
N70-N77 Inflammatory diseases of female pelvic organs,27398,0,12318,13934,75.0,46.0,2.7,1.0,36,302,26140,1245.0,705,8953,49375.87698630137,2000
N80-N98 Noninflammatory disorders of female genital tract,277078,0,30541,229632,77.0,44.0,3.2,2.0,44,1228,230006,33333.0,12577,152730,393939.5213150685,2000
